temp,humidity,time
23,40,2026-03-10 14:29:40
1,40,2026-03-10 14:29:41
21,40,2026-03-10 14:29:42
-6,40,2026-03-10 14:29:43
-12,40,2026-03-10 14:29:44
-4,40,2026-03-10 14:29:45
38,40,2026-03-10 14:29:46
12,40,2026-03-10 14:29:47
30,40,2026-03-10 14:29:48
3,40,2026-03-10 14:29:49
-13,40,2026-03-10 14:29:50
30,40,2026-03-10 14:29:51
27,40,2026-03-10 14:29:52
6,40,2026-03-10 14:29:53
26,40,2026-03-10 14:29:54
-9,40,2026-03-10 14:29:55
36,40,2026-03-10 14:29:56
12,40,2026-03-10 14:29:57
23,40,2026-03-10 14:29:58
38,40,2026-03-10 14:30:01
6,40,2026-03-10 14:30:01
7,40,2026-03-10 14:30:01
41,40,2026-03-10 14:30:02
-1,40,2026-03-10 14:30:03
38,40,2026-03-10 14:30:04
25,40,2026-03-10 14:30:05
-3,40,2026-03-10 14:30:06
39,40,2026-03-10 14:30:07
-11,40,2026-03-10 14:30:08
-19,40,2026-03-10 14:30:09
-6,40,2026-03-10 14:30:10
-18,40,2026-03-10 14:30:11
-19,40,2026-03-10 14:30:12
6,40,2026-03-10 14:30:13
-17,40,2026-03-10 14:30:14
9,40,2026-03-10 14:30:15
24,40,2026-03-10 14:30:16
-16,40,2026-03-10 14:30:17
1,40,2026-03-10 14:30:18
26,40,2026-03-10 14:30:19
21,40,2026-03-10 14:30:20
-7,40,2026-03-10 14:30:21
40,40,2026-03-10 14:30:22
-9,40,2026-03-10 14:30:23
20,40,2026-03-10 14:30:24
26,40,2026-03-10 14:30:25
34,40,2026-03-10 14:30:26
12,40,2026-03-10 14:30:27
9,40,2026-03-10 14:30:28
6,40,2026-03-10 14:30:29
8,40,2026-03-10 14:30:30
-10,40,2026-03-10 14:30:31
-7,40,2026-03-10 14:30:32
1,40,2026-03-10 14:30:33
38,40,2026-03-10 14:30:35
2,40,2026-03-10 14:30:36
19,40,2026-03-10 14:30:36
6,40,2026-03-10 14:30:37
9,40,2026-03-10 14:30:38
24,40,2026-03-10 14:30:39
-7,40,2026-03-10 14:30:40
17,40,2026-03-10 14:30:41
21,40,2026-03-10 14:30:42
33,40,2026-03-10 14:30:44
-13,40,2026-03-10 14:30:45
13,40,2026-03-10 14:30:46
32,40,2026-03-10 14:30:47
-8,40,2026-03-10 14:30:48
26,40,2026-03-10 14:30:49
45,40,2026-03-10 14:30:50
31,40,2026-03-10 14:30:51
37,40,2026-03-10 14:30:52
16,40,2026-03-10 14:30:53
-6,40,2026-03-10 14:30:54
-16,40,2026-03-10 14:30:55
16,40,2026-03-10 14:30:56
26,40,2026-03-10 14:30:57
31,40,2026-03-10 14:30:58
-16,40,2026-03-10 14:30:59
3,40,2026-03-10 14:31:00
36,40,2026-03-10 14:31:01
39,40,2026-03-10 14:31:02
16,40,2026-03-10 14:31:03
12,40,2026-03-10 14:31:04
6,40,2026-03-10 14:31:05
-13,40,2026-03-10 14:31:06
5,40,2026-03-10 14:31:07
25,40,2026-03-10 14:31:08
16,40,2026-03-10 14:31:09
23,40,2026-03-10 14:31:10
41,40,2026-03-10 14:31:11
45,40,2026-03-10 14:31:12
-11,40,2026-03-10 14:31:13
41,40,2026-03-10 14:31:14
-18,40,2026-03-10 14:31:15
18,40,2026-03-10 14:31:16
5,40,2026-03-10 14:31:17
27,40,2026-03-10 14:31:18
-7,40,2026-03-10 14:31:19
15,40,2026-03-10 14:31:20
-5,40,2026-03-10 14:31:21
0,40,2026-03-10 14:31:22
18,40,2026-03-10 14:31:23
9,40,2026-03-10 14:31:24
25,40,2026-03-10 14:31:25
3,40,2026-03-10 14:31:26
-7,40,2026-03-10 14:31:27
